menu_date,titre_plat,prix,category,recette,image_url
2023-05-29 20:56:05.931,Plat côté Terre,3300,PLAT,"Médaillon de paupiette de veau au champignon, purée de taro, beurre de noix, choux pommé braisé, salade d'endive et pomme, jus de rôti au balsamique et ail confit.",
2023-05-29 20:56:05.931,Plat côté Mer,3300,PLAT,"Loche ronde à la plancha, pilpil à l'orange, légumes verts, écrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, accras d'aile de raie, condiment petit pois anis vert.",
2023-05-29 20:56:05.931,Plat Végétarien,2900,PLAT,"Ecrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, légumes verts, condiment petit pois wasabi.",
2023-05-29 20:56:05.931,Suggestion du mois,2650,PLAT,"Porc croustillant, salade mélangée-papaye verte-cacahuètes, condiment satay, frites de manioc,",http://auptitcafe.nc/wp-content/uploads/2023/05/APC-MENU-DU-MARDI03-1.jpg
2023-05-29 20:56:05.931,Suggestion du soir,3300,PLAT,"Quenelle de poisson et crevette, bisque de crabe, couteaux, encornet, patate douce confite, aïoli",
2023-05-29 20:56:05.931,L'EFFEUILLET,1200,DESSERT,"L’effeuiller: croustillant praliné, dacquoise noisette, crémeux chocolat noir, chantilly chocolat au lait.",
2023-05-29 20:56:05.931,FLAN COCO,1200,DESSERT,"Flan coco, carpaccio d'ananas, crumble combava.",
2023-05-29 20:56:05.931,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-05-29 20:56:05.931,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-05-29 20:56:44.798,Plat côté Terre,3300,PLAT,"Médaillon de paupiette de veau au champignon, purée de taro, beurre de noix, choux pommé braisé, salade d'endive et pomme, jus de rôti au balsamique et ail confit.",
2023-05-29 20:56:44.798,Plat côté Mer,3300,PLAT,"Loche ronde à la plancha, pilpil à l'orange, légumes verts, écrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, accras d'aile de raie, condiment petit pois anis vert.",
2023-05-29 20:56:44.798,Plat Végétarien,2900,PLAT,"Ecrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, légumes verts, condiment petit pois wasabi.",
2023-05-29 20:56:44.798,Suggestion du mois,2650,PLAT,"Porc croustillant, salade mélangée-papaye verte-cacahuètes, condiment satay, frites de manioc,",http://auptitcafe.nc/wp-content/uploads/2023/05/APC-MENU-DU-MARDI03-1.jpg
2023-05-29 20:56:44.798,Suggestion du soir,3300,PLAT,"Quenelle de poisson et crevette, bisque de crabe, couteaux, encornet, patate douce confite, aïoli",
2023-05-29 20:56:44.798,L'EFFEUILLET,1200,DESSERT,"L’effeuiller: croustillant praliné, dacquoise noisette, crémeux chocolat noir, chantilly chocolat au lait.",
2023-05-29 20:56:44.798,FLAN COCO,1200,DESSERT,"Flan coco, carpaccio d'ananas, crumble combava.",
2023-05-29 20:56:44.798,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-05-29 20:56:44.798,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-05-29 21:13:55.677,Plat côté Terre,3300,PLAT,"Médaillon de paupiette de veau au champignon, purée de taro, beurre de noix, choux pommé braisé, salade d'endive et pomme, jus de rôti au balsamique et ail confit.",
2023-05-29 21:13:55.677,Plat côté Mer,3300,PLAT,"Loche ronde à la plancha, pilpil à l'orange, légumes verts, écrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, accras d'aile de raie, condiment petit pois anis vert.",
2023-05-29 21:13:55.677,Plat Végétarien,2900,PLAT,"Ecrasée de pomme de terre à l'ail, salade de papaye, orange et graine de fenouil, légumes verts, condiment petit pois wasabi.",
2023-05-29 21:13:55.677,Suggestion du mois,2650,PLAT,"Porc croustillant, salade mélangée-papaye verte-cacahuètes, condiment satay, frites de manioc,",http://auptitcafe.nc/wp-content/uploads/2023/05/APC-MENU-DU-MARDI03-1.jpg
2023-05-29 21:13:55.677,Suggestion du soir,3300,PLAT,"Quenelle de poisson et crevette, bisque de crabe, couteaux, encornet, patate douce confite, aïoli",
2023-05-29 21:13:55.677,L'EFFEUILLET,1200,DESSERT,"L’effeuiller: croustillant praliné, dacquoise noisette, crémeux chocolat noir, chantilly chocolat au lait.",
2023-05-29 21:13:55.677,FLAN COCO,1200,DESSERT,"Flan coco, carpaccio d'ananas, crumble combava.",
2023-05-29 21:13:55.677,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-05-29 21:13:55.677,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-13 04:16:03.995,Plat côté Terre,3300,PLAT,"Goa bao de porc au caramel, yakitori de filet, salade de udon, légumes marinés, condiment tofu mizo moutarde, citrouille confite au soja, shitake, salade de choux aux sésames.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061300-scaled.jpg
2023-06-13 04:16:03.995,Plat côté Mer,3300,PLAT,"Bec de canne a la plancha, dossa massala, curry de pomme de terre, rougail tomate fraiche, tempura d'aubergine, salade de courgette marinée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061301-scaled.jpg
2023-06-13 04:16:03.995,Plat Végétarien,2900,PLAT,"Dossa massala, curry de pomme de terre, citrouille confite au soja, tempura d'aubergine, salade de choux aux sésames, condiment tofu mizo moutarde.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061302-scaled.jpg
2023-06-13 04:16:03.995,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-13 04:16:03.995,Suggestion du soir,3300,PLAT,"Gigot d'agneau tamarin citron longue cuisson, gnocchi sauté, artichaut, poivrons rôtis, pistou pistache.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2023-06-13 04:16:03.995,PAVLOVA PISTACHE EXOTIQUE,1200,DESSERT,"Pavlova, meringue, crème mascarpone pistache, crémeux exotique, fruits frais",http://auptitcafe.nc/wp-content/uploads/2023/06/23061305-scaled.jpg
2023-06-13 04:16:03.995,ENTREMETS CHOCO BANANE COCO,1200,DESSERT,"Entremets, brownies chocolat noir, coeur banane, mousse coco, copeaux chocolat au lait coco",http://auptitcafe.nc/wp-content/uploads/2023/06/23061304-scaled.jpg
2023-06-13 04:16:03.995,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-13 04:16:03.995,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-13 04:29:25.884,Plat côté Terre,3300,PLAT,"Goa bao de porc au caramel, yakitori de filet, salade de udon, légumes marinés, condiment tofu mizo moutarde, citrouille confite au soja, shitake, salade de choux aux sésames.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061300-scaled.jpg
2023-06-13 04:29:25.884,Plat côté Mer,3300,PLAT,"Bec de canne a la plancha, dossa massala, curry de pomme de terre, rougail tomate fraiche, tempura d'aubergine, salade de courgette marinée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061301-scaled.jpg
2023-06-13 04:29:25.884,Plat Végétarien,2900,PLAT,"Dossa massala, curry de pomme de terre, citrouille confite au soja, tempura d'aubergine, salade de choux aux sésames, condiment tofu mizo moutarde.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061302-scaled.jpg
2023-06-13 04:29:25.884,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-13 04:29:25.884,Suggestion du soir,3300,PLAT,"Gigot d'agneau tamarin citron longue cuisson, gnocchi sauté, artichaut, poivrons rôtis, pistou pistache.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2023-06-13 04:29:25.884,PAVLOVA PISTACHE EXOTIQUE,1200,DESSERT,"Pavlova, meringue, crème mascarpone pistache, crémeux exotique, fruits frais",http://auptitcafe.nc/wp-content/uploads/2023/06/23061305-scaled.jpg
2023-06-13 04:29:25.884,ENTREMETS CHOCO BANANE COCO,1200,DESSERT,"Entremets, brownies chocolat noir, coeur banane, mousse coco, copeaux chocolat au lait coco",http://auptitcafe.nc/wp-content/uploads/2023/06/23061304-scaled.jpg
2023-06-13 04:29:25.884,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-13 04:29:25.884,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-13 04:34:45.771,Plat côté Terre,3300,PLAT,"Goa bao de porc au caramel, yakitori de filet, salade de udon, légumes marinés, condiment tofu mizo moutarde, citrouille confite au soja, shitake, salade de choux aux sésames.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061300-scaled.jpg
2023-06-13 04:34:45.771,Plat côté Mer,3300,PLAT,"Bec de canne a la plancha, dossa massala, curry de pomme de terre, rougail tomate fraiche, tempura d'aubergine, salade de courgette marinée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061301-scaled.jpg
2023-06-13 04:34:45.771,Plat Végétarien,2900,PLAT,"Dossa massala, curry de pomme de terre, citrouille confite au soja, tempura d'aubergine, salade de choux aux sésames, condiment tofu mizo moutarde.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061302-scaled.jpg
2023-06-13 04:34:45.771,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-13 04:34:45.771,Suggestion du soir,3300,PLAT,"Gigot d'agneau tamarin citron longue cuisson, gnocchi sauté, artichaut, poivrons rôtis, pistou pistache.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2023-06-13 04:34:45.771,PAVLOVA PISTACHE EXOTIQUE,1200,DESSERT,"Pavlova, meringue, crème mascarpone pistache, crémeux exotique, fruits frais",http://auptitcafe.nc/wp-content/uploads/2023/06/23061305-scaled.jpg
2023-06-13 04:34:45.771,ENTREMETS CHOCO BANANE COCO,1200,DESSERT,"Entremets, brownies chocolat noir, coeur banane, mousse coco, copeaux chocolat au lait coco",http://auptitcafe.nc/wp-content/uploads/2023/06/23061304-scaled.jpg
2023-06-13 04:34:45.771,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-13 04:34:45.771,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-13 04:40:09.093,Plat côté Terre,3300,PLAT,"Goa bao de porc au caramel, yakitori de filet, salade de udon, légumes marinés, condiment tofu mizo moutarde, citrouille confite au soja, shitake, salade de choux aux sésames.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061300-scaled.jpg
2023-06-13 04:40:09.093,Plat côté Mer,3300,PLAT,"Bec de canne a la plancha, dossa massala, curry de pomme de terre, rougail tomate fraiche, tempura d'aubergine, salade de courgette marinée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061301-scaled.jpg
2023-06-13 04:40:09.093,Plat Végétarien,2900,PLAT,"Dossa massala, curry de pomme de terre, citrouille confite au soja, tempura d'aubergine, salade de choux aux sésames, condiment tofu mizo moutarde.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061302-scaled.jpg
2023-06-13 04:40:09.093,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-13 04:40:09.093,Suggestion du soir,3300,PLAT,"Gigot d'agneau tamarin citron longue cuisson, gnocchi sauté, artichaut, poivrons rôtis, pistou pistache.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2023-06-13 04:40:09.093,PAVLOVA PISTACHE EXOTIQUE,1200,DESSERT,"Pavlova, meringue, crème mascarpone pistache, crémeux exotique, fruits frais",http://auptitcafe.nc/wp-content/uploads/2023/06/23061305-scaled.jpg
2023-06-13 04:40:09.093,ENTREMETS CHOCO BANANE COCO,1200,DESSERT,"Entremets, brownies chocolat noir, coeur banane, mousse coco, copeaux chocolat au lait coco",http://auptitcafe.nc/wp-content/uploads/2023/06/23061304-scaled.jpg
2023-06-13 04:40:09.093,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-13 04:40:09.093,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-13 12:22:05.245,Plat côté Terre,3300,PLAT,"Goa bao de porc au caramel, yakitori de filet, salade de udon, légumes marinés, condiment tofu mizo moutarde, citrouille confite au soja, shitake, salade de choux aux sésames.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061300-scaled.jpg
2023-06-13 12:22:05.245,Plat côté Mer,3300,PLAT,"Bec de canne a la plancha, dossa massala, curry de pomme de terre, rougail tomate fraiche, tempura d'aubergine, salade de courgette marinée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061301-scaled.jpg
2023-06-13 12:22:05.245,Plat Végétarien,2900,PLAT,"Dossa massala, curry de pomme de terre, citrouille confite au soja, tempura d'aubergine, salade de choux aux sésames, condiment tofu mizo moutarde.",http://auptitcafe.nc/wp-content/uploads/2023/06/23061302-scaled.jpg
2023-06-13 12:22:05.245,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-13 12:22:05.245,Suggestion du soir,3300,PLAT,"Gigot d'agneau tamarin citron longue cuisson, gnocchi sauté, artichaut, poivrons rôtis, pistou pistache.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2023-06-13 12:22:05.245,PAVLOVA PISTACHE EXOTIQUE,1200,DESSERT,"Pavlova, meringue, crème mascarpone pistache, crémeux exotique, fruits frais",http://auptitcafe.nc/wp-content/uploads/2023/06/23061305-scaled.jpg
2023-06-13 12:22:05.245,ENTREMETS CHOCO BANANE COCO,1200,DESSERT,"Entremets, brownies chocolat noir, coeur banane, mousse coco, copeaux chocolat au lait coco",http://auptitcafe.nc/wp-content/uploads/2023/06/23061304-scaled.jpg
2023-06-13 12:22:05.245,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-13 12:22:05.245,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-20 12:22:03.511,Plat côté Terre,3300,PLAT,"Pastilla de tajine d'agneau, brochette de filet mignon, taboulet de choux fleur, romesco harissa, tzatziki, courgette grillée, chimichourri.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062000-scaled.jpg
2023-06-20 12:22:03.511,Plat côté Mer,3300,PLAT,"Rouget de nuit, gratin de penne a l’encre de seiche, poutargue, crème oseille épinard, champignon escabèche, pistou basilic pistache.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062001-scaled.jpg
2023-06-20 12:22:03.511,Plat Végétarien,2900,PLAT,"Taboulet de choux fleur, courgette grillée, sauce tzatziki, champignon escabèche, houmous, romesco, salade mélangée.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062002-scaled.jpg
2023-06-20 12:22:03.511,Suggestion du mois,2650,PLAT,"Ventrèche de thon confite, salade mélangée, sauce tonato, accras de poisson, parmesan,",http://auptitcafe.nc/wp-content/uploads/2023/06/23060603.jpg
2023-06-20 12:22:03.511,Suggestion du soir,3300,PLAT,"Civet de cerf Mole, rösti de taro de montagne, poêlée de champignon, châtaigne, oignon grelot.",
2023-06-20 12:22:03.511,OPERA MATCHA,1200,DESSERT,"Opéra thé matcha: biscuit amande, suprême chocolat blanc thé macha, ganache chocolat noir.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062005-scaled.jpg
2023-06-20 12:22:03.511,TARTE ORANGE BASILIC,1200,DESSERT,"Tarte orange basilic: pate sucrée, crème d'amande basilic, crémeux orange basilic.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062004-scaled.jpg
2023-06-20 12:22:03.511,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-20 12:22:03.511,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-27 12:25:21.944,SAINT HONORE,1200,DESSERT,"Biscuit traou, choux garnis à la chantilly crème de marron et marmelade mandarine, meringue suisse.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062705.jpg
2023-06-27 12:25:21.944,LE NOISETTE,1200,DESSERT,"Sablé noisette, mousse et ganache gianduja, biscuit joconde, glaçage chocolat-noisette.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062704.jpg
2023-06-27 12:25:21.944,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2023-06-27 12:25:21.944,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/03/APC-MENU-DU-MARDI-scaled.jpg
2023-06-27 12:25:21.944,Plat côté Terre,3300,PLAT,"Suprême de poulet au beurre de basilic-citron,empanadas,salade de tomate-olive-concombre, patate douce rôtie, salsa verdé, caviar d'aubergine, jus de rôtie.",http://auptitcafe.nc/wp-content/uploads/2023/06/23062700.jpg
